partner_ID,hotel,is_canceled,total_cost,days_betwee_reservation_and_check_in,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal_booked,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
25,Resort Hotel,0,50,7,2015,July,27,1,0,1,1,0,0,BB,Direct,Direct,0,0,0,A,C,0,0,0,Check-Out,02/07/2015
21,Resort Hotel,1,150,75,2015,July,27,1,0,3,2,0,0,HB,Offline TA/TO,TA/TO,0,0,0,D,D,0,0,0,Canceled,22/04/2015
18,Resort Hotel,0,430,127,2015,July,27,1,2,5,2,0,0,HB,Offline TA/TO,TA/TO,0,0,0,D,I,0,0,1,Check-Out,01/07/2015
2,Resort Hotel,0,910,95,2015,July,27,1,4,11,2,0,0,BB,Offline TA/TO,TA/TO,0,0,0,D,D,0,0,0,Check-Out,16/07/2015
18,Resort Hotel,0,240,36,2015,July,27,2,1,3,3,0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,0,1,Check-Out,06/07/2015
21,Resort Hotel,0,330,70,2015,July,27,2,2,3,2,0,0,HB,Direct,Direct,0,0,0,E,E,0,0,1,Check-Out,07/07/2015
28,Resort Hotel,0,100,14,2015,July,27,2,0,2,2,0,0,BB,Online TA,TA/TO,0,0,0,A,C,0,0,1,Check-Out,04/07/2015
27,Resort Hotel,1,150,63,2015,July,27,3,0,2,2,0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,0,2,Canceled,18/06/2015
25,Resort Hotel,1,100,62,2015,July,27,3,0,2,2,0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,0,1,Canceled,03/07/2015
6,Resort Hotel,0,80,15,2015,July,27,3,0,2,2,0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,0,0,Check-Out,05/07/2015
22,Resort Hotel,0,200,3,2015,July,27,3,1,2,2,0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,1,0,Check-Out,06/07/2015
8,Resort Hotel,0,290,72,2015,July,27,3,2,2,2,0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,A,0,1,0,Check-Out,07/07/2015
18,Resort Hotel,0,530,81,2015,July,27,3,2,6,3,0,0,BB,Offline TA/TO,TA/TO,0,0,0,D,D,0,0,0,Check-Out,11/07/2015
28,Resort Hotel,0,860,324,2015,July,27,3,4,10,2,0,0,HB,Offline TA/TO,TA/TO,0,0,0,E,E,0,0,0,Check-Out,17/07/2015
19,Resort Hotel,1,1290,79,2015,July,27,3,6,15,2,1,0,BB,Offline TA/TO,TA/TO,0,0,0,A,A,0,0,2,Canceled,15/04/2015
19,Resort Hotel,0,440,101,2015,July,27,3,2,5,2,1,0,BB,Online TA,TA/TO,0,0,0,D,D,0,1,2,Check-Out,10/07/2015
24,Resort Hotel,0,210,4,2015,July,27,4,2,1,2,0,0,BB,Direct,Direct,0,0,0,A,C,0,0,1,Check-Out,07/07/2015
26,Resort Hotel,0,290,98,2015,July,27,4,2,1,2,0,0,BB,Offline TA/TO,TA/TO,0,0,0,D,D,0,1,0,Check-Out,07/07/2015
21,Resort Hotel,0,380,92,2015,July,27,4,2,4,1,2,0,BB,Offline TA/TO,TA/TO,0,0,0,F,F,0,0,2,Check-Out,10/07/2015
30,Resort Hotel,0,430,102,2015,July,27,4,2,5,2,0,0,BB,Online TA,TA/TO,0,0,0,E,E,0,0,1,Check-Out,11/07/2015
3,Resort Hotel,1,50,33,2015,July,27,4,0,1,2,0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,0,0,Canceled,16/06/2015
12,Resort Hotel,0,100,8,2015,July,27,4,0,1,2,0,0,BB,Online TA,TA/TO,0,0,0,E,E,0,0,0,Check-Out,05/07/2015
7,Resort Hotel,0,140,1,2015,July,27,4,1,1,2,0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,0,0,Check-Out,06/07/2015
22,Resort Hotel,0,90,2,2015,July,28,5,1,0,2,0,0,BB,Direct,Direct,0,0,0,G,G,0,0,1,Check-Out,06/07/2015
